,area_sqcm,area_sqkm,climate_group,elev_drop,elevation,flow_accum,gradient,group,interception_factor,length,next_stream,out_dist,parameter_group,prev_str01,prev_str02,shreve,strahler,upstream_area
68,1442320000.0,0.144232,68.0,641.0095,486,90397.597223,0.016112,"(2, 68.0)",0.1,39783.6445,69,13129763.427799998,2,5,63,5,3,634626410000.0
69,60793310000.0,6.079331,69.0,1677.0813,549,109591.545324,0.005445,"(2, 69.0)",0.1,307980.57289999997,85,13089979.7833,2,34,68,6,3,767953630000.0
70,68771340000.0,6.877134,70.0,1576.7792000000002,476,85401.336247,0.0044399999999999995,"(1, 70.0)",0.4,355129.32960000006,84,13169003.7598,1,10,56,5,2,599746030000.0
71,55846230000.00001,5.584623000000001,71.0,2169.8608,506,7934.065035,0.01852,"(2, 71.0)",0.1,117165.589,89,11880292.588399999,2,0,0,1,1,55846230000.00001
72,84379020000.00002,8.437902000000001,72.0,28815.533399999997,468,282946.697869,0.06042,"(1, 72.0)",0.4,476918.7076,334,7958483.457,1,0,0,1,1,84379020000.00002
73,79090530000.0,7.909053,73.0,2936.4594,501,11899.718634,0.011353,"(1, 73.0)",0.4,258642.301,106,12656851.011400001,1,0,0,1,1,79090530000.0
75,89723259999.99998,8.972325999999999,75.0,14777.642800000001,487,12950.845192,0.048108,"(2, 75.0)",0.1,307174.36,214,6087079.5649,2,0,0,1,1,89723259999.99998
76,28950850000.0,2.895085,76.0,1621.8964,571,3433.184887,0.022159,"(2, 76.0)",0.1,73194.8618,90,12713444.0878,2,0,0,1,1,28950850000.0
77,68018830000.0,6.801883,77.0,4360.5713000000005,598,14922.941197,0.018969999999999997,"(1, 77.0)",0.4,229864.7242,122,12141688.879,1,0,0,1,1,68018830000.0
78,56807780000.0,5.680778,78.0,7475.2625,827,4869.071451,0.09581100000000001,"(1, 78.0)",0.4,78021.02200000001,169,7672983.626300001,1,0,0,1,1,56807780000.0
79,67210570000.00001,6.721057000000001,79.0,10439.364599999999,565,9606.032606,0.023102,"(1, 79.0)",0.4,451885.40869999997,194,11636433.9922,1,0,0,1,1,67210570000.00001
80,108313119999.99998,10.831311999999999,80.0,23351.394700000004,424,56502.21890299999,0.033191000000000005,"(1, 80.0)",0.4,703541.0687000001,283,9621110.6701,1,6,32,3,2,394595610000.0
81,101331470000.0,10.133147,81.0,19191.0675,635,14941.292146000002,0.088757,"(2, 81.0)",0.1,216219.7173,247,2775315.6131,2,0,0,1,1,101331470000.0
82,29870590000.0,2.987059,82.0,3668.3014,600,3099.322081,0.044729000000000005,"(1, 82.0)",0.4,82010.8939,127,12098779.8105,1,0,0,1,1,29870590000.0
83,73572100000.0,7.35721,83.0,4928.653,554,10218.958713,0.018534000000000002,"(1, 83.0)",0.4,265918.6338,158,12050483.012699999,1,0,0,1,1,73572100000.0
84,66221160000.0,6.622116,84.0,1406.6833,460,113142.47761300001,0.0037310000000000004,"(1, 84.0)",0.4,376978.96950000006,102,12813874.4302,1,20,70,6,2,758038570000.0
85,21732299999.999996,2.1732299999999998,85.0,263.8153,496,101423.618093,0.001861,"(2, 85.0)",0.1,141749.9845,90,12781999.210399998,2,69,67,7,3,837317230000.0
87,54989200000.0,5.49892,87.0,2758.0505,533,99122.42711599999,0.032193,"(2, 87.0)",0.1,85672.54220000001,120,11982313.4104,2,0,0,1,1,54989200000.0
88,4431470000.0,0.443147,88.0,1859.8663000000001,510,67214.637658,0.02636,"(2, 88.0)",0.1,70555.4535,117,6957394.5345,2,27,42,6,3,419679380000.0
89,15161750000.0,1.516175,89.0,3369.9340999999995,485,9954.369059,0.022258,"(2, 89.0)",0.1,151402.3047,133,11763126.999400001,2,71,61,2,2,97589810000.0
90,29842720000.000004,2.9842720000000003,90.0,734.7869999999999,505,127598.05941500001,0.005724,"(2, 90.0)",0.1,128360.4233,101,12640249.2259,2,76,85,8,3,896110800000.0
97,26379770000.000004,2.6379770000000002,97.0,6753.5645,700,3710.6654200000003,0.11465999999999998,"(2, 97.0)",0.1,58900.925899999995,181,10228987.4572,2,0,0,1,1,26379770000.000004
98,59406730000.0,5.940673,98.0,2666.1469,679,36946.043065,0.01029,"(2, 98.0)",0.1,259093.55010000005,123,10862771.830599999,2,26,43,2,2,260258070000.0
99,42398540000.0,4.239854,99.0,2561.9049,504,6026.932115,0.014906,"(1, 99.0)",0.4,171869.1114,122,12083693.266199999,1,0,0,1,1,42398540000.0
100,59190740000.0,5.919074,100.0,3099.8077000000003,654,8301.619277,0.037212,"(1, 100.0)",0.4,83301.24599999998,152,11507308.6512,1,0,0,1,1,59190740000.0
101,2327220000.0,0.23272199999999998,101.0,290.3046,452,144542.458358,0.003942,"(2, 101.0)",0.1,73643.76539999999,105,12511888.8026,2,29,90,9,3,978350740000.0
102,1358700000.0,0.13587,102.0,265.448,450,84531.149682,0.006861,"(1, 102.0)",0.4,38686.7501,106,12436895.4606,1,24,84,7,2,839658370000.0
103,28902080000.000004,2.8902080000000003,103.0,5372.7509,607,2264.2870120000002,0.102289,"(1, 103.0)",0.4,52525.214900000006,170,11381792.8221,1,0,0,1,1,28902080000.000004
105,22575400000.0,2.25754,105.0,159.5642,477,105803.610877,0.001288,"(2, 105.0)",0.1,123907.105,111,12438245.0373,2,101,54,10,3,1040990500000.0
106,7413649999.999999,0.7413649999999999,106.0,652.7618,471,133140.151772,0.0056549999999999994,"(1, 106.0)",0.4,115433.37019999999,115,12398208.7105,1,73,102,8,2,926162550000.0
111,51853730000.0,5.185373,111.0,748.8158999999999,462,180064.26445,0.002984,"(2, 111.0)",0.1,250910.96600000001,116,12314337.9323,2,50,105,12,3,1218590580000.0
112,49282639999.99999,4.9282639999999995,112.0,11576.831100000001,391,35924.369511000004,0.042276999999999995,"(2, 112.0)",0.1,273833.5749,214,6053738.779800001,2,52,22,2,2,216500820000.0
113,94510080000.0,9.451008,113.0,6554.425,439,13592.45309,0.017647,"(1, 113.0)",0.4,371418.9053,189,11766978.821600001,1,0,0,1,1,94510080000.0
